ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.5577804658218486, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.5575777917297663, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
289,Game of Life,54.5%,Medium,0.552915490474362, https://leetcode.com/problems/game-of-life
355,Design Twitter,30.3%,Medium,0.5507956812780529, https://leetcode.com/problems/design-twitter
489,Robot Room Cleaner,69.7%,Hard,0.5479829869763493, https://leetcode.com/problems/robot-room-cleaner
341,Flatten Nested List Iterator,52.9%,Medium,0.5461187395622055, https://leetcode.com/problems/flatten-nested-list-iterator
93,Restore IP Addresses,35.6%,Medium,0.541488403342866, https://leetcode.com/problems/restore-ip-addresses
207,Course Schedule,43.1%,Medium,0.5403433580969076, https://leetcode.com/problems/course-schedule
770,Basic Calculator IV,48.1%,Hard,0.538996500732687, https://leetcode.com/problems/basic-calculator-iv
943,Find the Shortest Superstring,42.9%,Hard,0.5357102670818683, https://leetcode.com/problems/find-the-shortest-superstring
480,Sliding Window Median,37.2%,Hard,0.5274955113973754, https://leetcode.com/problems/sliding-window-median
76,Minimum Window Substring,34.6%,Hard,0.5242373922767427, https://leetcode.com/problems/minimum-window-substring
1429,First Unique Number,47.0%,Medium,0.5239621016713606, https://leetcode.com/problems/first-unique-number
622,Design Circular Queue,43.7%,Medium,0.5230167669664014, https://leetcode.com/problems/design-circular-queue
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.5211513032333475, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
206,Reverse Linked List,62.5%,Easy,0.5170143403889669, https://leetcode.com/problems/reverse-linked-list
215,Kth Largest Element in an Array,55.4%,Medium,0.5073003557203055, https://leetcode.com/problems/kth-largest-element-in-an-array
347,Top K Frequent Elements,61.2%,Medium,0.504202490273986, https://leetcode.com/problems/top-k-frequent-elements
22,Generate Parentheses,62.7%,Medium,0.4881938233057933, https://leetcode.com/problems/generate-parentheses
1236,Web Crawler,64.3%,Medium,0.4855078157817007, https://leetcode.com/problems/web-crawler
388,Longest Absolute File Path,41.8%,Medium,0.4754236967150748, https://leetcode.com/problems/longest-absolute-file-path
352,Data Stream as Disjoint Intervals,47.3%,Hard,0.4751606253554516, https://leetcode.com/problems/data-stream-as-disjoint-intervals
89,Gray Code,49.1%,Medium,0.4705903115740917, https://leetcode.com/problems/gray-code
188,Best Time to Buy and Sell Stock IV,28.0%,Hard,0.4696913406885731, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
558,Logical OR of Two Binary Grids Represented as Quad-Trees,44.6%,Medium,0.46813621507094, https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees
116,Populating Next Right Pointers in Each Node,45.2%,Medium,0.4677920544408954, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
36,Valid Sudoku,48.7%,Medium,0.463769522531935, https://leetcode.com/problems/valid-sudoku
1046,Last Stone Weight,62.2%,Easy,0.4611155899415259, https://leetcode.com/problems/last-stone-weight
98,Validate Binary Search Tree,27.8%,Medium,0.4560506048962707, https://leetcode.com/problems/validate-binary-search-tree
25,Reverse Nodes in k-Group,42.1%,Hard,0.4557571315683002, https://leetcode.com/problems/reverse-nodes-in-k-group
